product_id,product_category_name,month_year,qty,freight_price,unit_price,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
bed1,bed_bath_table,01-05-2017,1,15.1,45.95,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9
bed1,bed_bath_table,01-06-2017,3,12.93333333,45.95,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95
bed1,bed_bath_table,01-07-2017,6,14.84,45.95,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95
bed1,bed_bath_table,01-08-2017,4,14.2875,45.95,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4.0,14.2875,45.95
bed1,bed_bath_table,01-09-2017,2,15.1,45.95,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4.0,15.1,45.95
bed1,bed_bath_table,01-10-2017,3,15.1,45.95,89.9,3.9,21.57214286,45.95,4.0,15.1,45.95,4.0,15.1,45.95
bed1,bed_bath_table,01-11-2017,11,15.83272727,40.53181818,89.9,3.9,16.294,40.53181818,4.0,15.83272727,40.53181818,4.0,15.83272727,45.95
bed1,bed_bath_table,01-12-2017,6,15.23,39.99,88.48823529,3.9,18.89833333,39.99,4.0,15.23,39.99,4.0,15.23,40.53181818
bed1,bed_bath_table,01-01-2018,19,16.53368421,39.99,86.9,3.9,19.38352941,39.99,4.0,16.53368421,39.99,4.0,16.53368421,39.99
bed1,bed_bath_table,01-02-2018,18,13.74944444,39.99,86.9,3.9,19.20909091,39.99,4.0,13.74944444,39.99,4.0,13.74944444,39.99
bed1,bed_bath_table,01-03-2018,17,16.46235294,39.99,86.9,3.9,19.98235294,39.99,4.0,16.46235294,39.99,4.0,16.46235294,39.99
bed1,bed_bath_table,01-04-2018,13,14.23615385,39.99,85.045,3.9,12.94,39.99,4.0,14.23615385,39.99,4.0,14.23615385,39.99
bed1,bed_bath_table,01-05-2018,19,10.25631579,39.99,83.64961538,3.9,16.78038462,39.99,4.0,10.25631579,39.99,4.0,10.25631579,39.99
bed1,bed_bath_table,01-06-2018,5,13.998,39.99,79.9,3.9,23.00565217,39.99,4.0,13.998,39.99,4.0,13.998,39.99
bed1,bed_bath_table,01-07-2018,8,20.4175,39.99,77.93333333,3.9,19.952,39.99,4.0,20.4175,39.99,4.0,20.4175,39.99
bed1,bed_bath_table,01-08-2018,8,16.33375,39.24,74.0,3.9,17.25571429,39.24,4.0,16.33375,39.24,4.0,16.33375,39.99
garden5,garden_tools,01-03-2017,6,32.68,69.9,69.9,4.1,32.68,69.9,4.1,32.68,69.9,4.1,32.68,69.85
garden5,garden_tools,01-04-2017,3,34.21666667,82.63333333,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,69.9
garden5,garden_tools,01-05-2017,20,39.8975,97.58823529,59.9,4.1,19.7325,59.9,4.2,26.24666667,97.58823529,4.1,39.8975,82.63333333
garden5,garden_tools,01-06-2017,8,40.80125,89.0,59.9,4.1,17.67,59.9,4.2,16.26,89.0,4.1,40.80125,97.58823529
garden5,garden_tools,01-07-2017,10,39.156,89.0,59.9,4.1,16.62642857,59.9,4.2,16.11157895,59.9,4.1,15.39230769,89.0
garden5,garden_tools,01-08-2017,7,39.5,97.33333333,59.9,4.1,18.16230769,59.9,4.2,17.68111111,59.9,4.1,18.05043478,89.0
garden5,garden_tools,01-09-2017,9,39.01888889,99.0,59.9,4.1,17.18702703,59.9,4.2,16.81176471,59.9,4.1,16.29461538,97.33333333
garden5,garden_tools,01-10-2017,14,45.77642857,99.0,59.9,4.1,18.06589744,59.9,4.2,17.59548387,59.9,4.1,16.81416667,99.0
garden5,garden_tools,01-11-2017,17,32.86352941,99.0,52.40694444,4.1,17.06747253,53.64828125,4.2,16.07586207,53.78571429,4.1,18.27550725,99.0
garden5,garden_tools,01-12-2017,11,38.05545455,99.0,55.1,4.1,15.75960784,55.425,4.2,19.184375,55.75,4.1,17.26727273,99.0
garden5,garden_tools,01-01-2018,4,41.54,99.5,49.9,4.1,19.495,49.9,4.2,15.84103448,49.9,4.1,16.50512821,99.0
garden5,garden_tools,01-02-2018,2,43.555,101.0,50.54516129,4.1,16.61153846,50.9,4.2,17.51944444,50.35714286,4.1,18.281875,99.5
garden5,garden_tools,01-03-2018,1,67.02,101.0,53.9,4.1,20.35967742,53.9,4.2,21.85285714,53.9,4.1,19.02423077,101.0
garden5,garden_tools,01-04-2018,1,79.76,101.0,53.9,4.1,5.28173913,53.9,4.2,19.46846154,53.9,4.1,19.07142857,101.0
consoles1,consoles_games,01-07-2017,13,13.47307692,19.9,19.9,4.2,13.47307692,19.9,3.9,11.85,19.9,4.2,13.47307692,19.85
consoles1,consoles_games,01-08-2017,24,16.16375,19.9,19.9,4.2,16.16375,19.9,3.9,15.83272727,19.9,4.2,16.16375,19.9
consoles1,consoles_games,01-09-2017,9,16.13333333,19.9,19.9,4.2,16.13333333,19.9,3.9,15.41111111,19.9,4.2,16.13333333,19.9
consoles1,consoles_games,01-10-2017,28,13.53428571,21.54285714,21.54285714,4.2,13.53428571,20.66666667,3.9,12.80333333,21.54285714,4.2,13.53428571,19.9
consoles1,consoles_games,01-11-2017,28,13.64535714,24.5,24.5,4.2,13.64535714,24.5,3.9,13.65217391,24.5,4.2,13.64535714,21.54285714
consoles1,consoles_games,01-12-2017,16,12.87375,24.5,24.5,4.2,12.87375,24.5,3.9,13.52470588,24.5,4.2,12.87375,24.5
consoles1,consoles_games,01-02-2018,5,15.256,32.5,32.5,4.2,15.256,32.5,3.9,11.85,32.5,4.2,15.256,32.45
consoles1,consoles_games,01-03-2018,6,18.05666667,32.5,32.5,4.2,18.05666667,32.74285714,3.9,14.02714286,32.5,4.2,18.05666667,32.5
consoles1,consoles_games,01-04-2018,7,12.98571429,35.05714286,35.05714286,4.2,12.98571429,34.2,3.9,15.015,35.05714286,4.2,12.98571429,32.5
